part,condition,model,acc_mean,acc_std,ece_mean,lat_mean,depth,n_seeds
corr,motion_blur_s5,undefended,0.14666666666666667,0.005773502691896247,0.551169900794824,0.0009452191988627116,,3
corr,motion_blur_s5,undefended_vgg,0.17333333333333334,0.015275252316519465,0.5118288538853327,0.004152759710947672,,3
corr,pixelate_s3,cardnet,0.51,,0.35052310839295386,1.0433041763305664,145.52999877929688,1
corr,pixelate_s3,pgd_at,0.6,,0.20550090998411183,0.001341252326965332,,1
corr,pixelate_s3,rand_smooth,0.5,,0.12544261917471883,0.02383877515792847,,1
corr,pixelate_s3,trades,0.41,,0.14512632459402083,0.0008009219169616699,,1
corr,pixelate_s3,undefended,0.22,,0.5873051902651787,0.0011072850227355957,,1
corr,pixelate_s3,undefended_vgg,0.35,,0.6013241797685622,0.004168181419372558,,1
corr,pixelate_s5,cardnet,0.4666666666666666,0.025166114784235832,0.3164263125012319,0.8541079958279928,149.00999959309897,3
corr,pixelate_s5,pgd_at,0.5066666666666667,0.015275252316519468,0.18795159881313647,0.0012738744417826334,,3
corr,pixelate_s5,rand_smooth,0.4266666666666667,0.011547005383792521,0.14737949813405674,0.018967719872792565,,3
corr,pixelate_s5,trades,0.3933333333333333,0.03214550253664319,0.1341279736161232,0.0007600553830464681,,3
corr,pixelate_s5,undefended,0.18000000000000002,0.02000000000000001,0.6662906842430433,0.00082292636235555,,3
corr,pixelate_s5,undefended_vgg,0.25333333333333335,0.06110100926607787,0.6692178495724995,0.0038224848111470537,,3
corr,shot_noise_s3,cardnet,0.53,,0.3939664261043072,0.988812165260315,150.0,1
corr,shot_noise_s3,pgd_at,0.56,,0.15835680454969409,0.0016310620307922363,,1
corr,shot_noise_s3,rand_smooth,0.54,,0.15771196246147157,0.023475141525268556,,1
corr,shot_noise_s3,trades,0.4,,0.143683058321476,0.0010291218757629394,,1
corr,shot_noise_s3,undefended,0.13,,0.7308959075808525,0.0010818004608154296,,1
corr,shot_noise_s3,undefended_vgg,0.14,,0.7617586314678193,0.004632668495178223,,1
corr,shot_noise_s5,cardnet,0.4066666666666667,0.04932882862316249,0.2978088883558909,0.9830228964487712,150.0,3
corr,shot_noise_s5,pgd_at,0.32,0.04358898943540675,0.10618797873457275,0.001453525225321452,,3
corr,shot_noise_s5,rand_smooth,0.3833333333333333,0.04163331998932267,0.1344675807654858,0.022683658599853513,,3
corr,shot_noise_s5,trades,0.36000000000000004,0.055677643628300216,0.12997931132713955,0.0008985575040181479,,3
corr,shot_noise_s5,undefended,0.12,0.009999999999999998,0.6395588586727778,0.000917362372080485,,3
corr,shot_noise_s5,undefended_vgg,0.13,0.02,0.7127435703078907,0.004395902156829834,,3
corr,snow_s3,cardnet,0.4,,0.24230340301990508,0.8696202063560486,118.72000122070312,1
corr,snow_s3,pgd_at,0.41,,0.09423040151596068,0.0020451641082763674,,1
corr,snow_s3,rand_smooth,0.42,,0.157790574580431,0.025127317905426026,,1
corr,snow_s3,trades,0.2,,0.10438090711832046,0.001241757869720459,,1
corr,snow_s3,undefended,0.71,,0.25612605512142184,0.000993802547454834,,1
