seed,condition,model,auroc,fpr95
2,pgd10_8,undefended_vgg,0.044201385229825974,1.0
2,pgd10_8,pgd_at,0.5820659399032593,0.8541666865348816
2,pgd10_8,trades,0.5264756679534912,0.9208333492279053
2,pgd10_8,rand_smooth,0.5572221875190735,0.9041666388511658
2,pgd10_8,cardnet,0.6149305701255798,0.9333333373069763
2,pgd10_8,abl_no_purify,0.604687511920929,0.8583333492279053
2,pgd10_8,abl_no_detect,0.5496875047683716,0.8958333134651184
2,pgd10_8,abl_no_smooth,0.604687511920929,0.8583333492279053
2,pgd10_8,abl_no_fusion,0.604687511920929,0.8583333492279053
2,pgd10_8,abl_single_teacher,0.610156238079071,0.887499988079071
2,pgd40_8,undefended,0.022222207859158516,1.0
2,pgd40_8,undefended_vgg,0.00609374837949872,1.0
2,pgd40_8,pgd_at,0.5774304866790771,0.8541666865348816
2,pgd40_8,trades,0.5255903005599976,0.9208333492279053
2,pgd40_8,rand_smooth,0.5523611307144165,0.9208333492279053
2,pgd40_8,cardnet,0.6362847685813904,0.9333333373069763
2,cw,undefended,0.7666000127792358,0.6899999976158142
2,cw,undefended_vgg,0.8488999605178833,0.33000001311302185
2,cw,pgd_at,0.5435000061988831,0.9599999785423279
2,cw,trades,0.5019999742507935,0.9599999785423279
2,cw,rand_smooth,0.5341999530792236,0.9300000071525574
2,cw,cardnet,0.5582000017166138,0.7300000190734863
